Location,Geo_ID,Total_Collisions,Cyclists_Collisions,Pedestrian_collisions,X,Y,Latitude,Longitude,ObjectId
FITZROY ST btwn TO BE DETERMINED & CANON SMITH DR (1) (__3ZA4RO),__3ZA4RO,1,0,0,327910.3649,5037648.911,45.4783834426237,-76.2043959708077,29
HIGHWAY 417 btwn HWY417 IC169 RAMP25 & HWY417 IC163 RAMP51 (__5SPOUW),__5SPOUW,3,0,0,328272.2724,5022931.887,45.3459409559415,-76.200467742026,30
PANMURE RD btwn MISSISSIPPI MILLS TWP & UPPER DWYER HILL RD (__3ZAZUA),__3ZAZUA,1,0,0,328420.624,5018981.263,45.3103859604255,-76.1987631303987,31
HIGHWAY 417 btwn HWY417 IC163 RAMP16 & HWY417 IC169 RAMP61 (__5SPO79),__5SPO79,2,0,0,328611.3661,5022724.066,45.3440594378452,-76.1961505951447,32
LOGGERS WAY btwn RABBIT PATH & KINBURN SIDE RD (__3ZBN00),__3ZBN00,1,0,0,328678.0174,5028437.229,45.3954671469176,-76.1950239303537,33
CARP RD btwn GALETTA SIDE RD & STYLES SIDE RD (__3ZA4RT),__3ZA4RT,5,0,0,329158.9996,5034181.025,45.4471357060674,-76.1885967935356,34
KINBURN SIDE RD btwn LOGGERS WAY & JOHN SHAW RD (__3ZA4R5),__3ZA4R5,1,0,0,329685.7629,5028474.819,45.3957703079316,-76.1821510491628,35
PANMURE RD btwn BREEZY HEIGHTS RD & MARSHWOOD RD (__3ZAZNN),__3ZAZNN,1,0,0,330614.495,5020892.191,45.3275043678247,-76.1706852598786,36
GALETTA SIDE RD btwn FERRY RD & STONECREST RD (__3ZA4RN),__3ZA4RN,2,0,0,330615.0175,5037509.477,45.4770340067682,-76.1698087113294,37
KINBURN SIDE RD btwn JOHN SHAW RD & DIAMONDVIEW RD (__3ZA4R6),__3ZA4R6,1,0,0,330706.9094,5029375.636,45.4038392210272,-76.1690615351669,38
HIGHWAY 417 btwn HWY417 IC163 RAMP51 & HWY417 IC163 RAMP15 (__34IVFY),__34IVFY,2,0,0,330916.1375,5021555.589,45.3334628290681,-76.1668022800399,39
UPPER DWYER HILL RD btwn MANTIL SIDE RD & VAUGHAN SIDE RD (__3ZAZA4),__3ZAZA4,2,0,0,331030.2274,5017699.886,45.2987627510483,-76.1655508703253,40
HWY417 IC163 RAMP15 btwn PANMURE RD & HIGHWAY 417 (__34IVG0),__34IVG0,1,0,0,331059.9479,5021478.34,45.3327623333712,-76.1649716327538,41
HIGHWAY 417 btwn HWY417 IC163 RAMP16 & HWY417 IC163 RAMP61 (__3ZAZNM),__3ZAZNM,3,0,0,331706.4844,5021395.791,45.3319950203834,-76.1567276572622,42
HWY417 IC163 RAMP61 btwn PANMURE RD & HIGHWAY 417 (__3ZAY46),__3ZAY46,1,0,0,331761.9501,5021419.337,45.332204771081,-76.1560187572559,43
WOODKILTON RD btwn RIVERWOOD DR & GALETTA SIDE RD (__3ZACDR),__3ZACDR,1,0,0,331810.374,5040377.834,45.5027990880213,-76.1543617482549,44
UPPER DWYER HILL RD @ VAUGHAN SIDE RD (0002370),2370,1,0,0,331999.4342,5016530.526,45.288203297322,-76.1532573288885,45
DIAMONDVIEW RD btwn KINBURN SIDE RD & BAIRD SIDE RD (__3ZACD3),__3ZACD3,1,1,0,332265.1467,5028697.168,45.3976746739212,-76.1491945433644,46
MARCH RD btwn GOLDEN LINE RD & BURNT LANDS RD (__3ZA2QG),__3ZA2QG,1,0,0,332526.2415,5013149.46,45.257757773986,-76.1467304440261,47
KINBURN SIDE RD btwn CARP RD & LIMESTONE RD (__3ZA4Q4),__3ZA4Q4,2,0,0,332761.7248,5031196.618,45.4201460791175,-76.1427102275719,48
KILMAURS SIDE RD @ STONECREST RD (0002487),2487,1,0,0,332946.5804,5035338.632,45.4574099756647,-76.1401113609255,49
CARP RD btwn KINBURN SIDE RD & BAIRD SIDE RD (__3ZA4Q9),__3ZA4Q9,3,0,0,333265.4828,5029593.652,45.4057016481579,-76.1363660088135,50
PETER ROBINSON RD btwn VAUGHAN SIDE RD & CARROLL SIDE RD (__3ZBNAI),__3ZBNAI,1,0,0,333600.2253,5016873.059,45.2912218334624,-76.1328307144046,51
UPPER DWYER HILL RD btwn CARROLL SIDE RD & MARCH RD (__3ZA4QC),__3ZA4QC,5,0,0,333663.3156,5014740.843,45.2720322972321,-76.1321504129586,52
DUNROBIN RD btwn GALETTA SIDE RD & BAIRD'S GRANT LANE (__3ZAZ5E),__3ZAZ5E,1,0,0,333947.1594,5040075.134,45.4999893131962,-76.1270369201804,53
MARCH RD @ UPPER DWYER HILL RD (0010832),10832,1,0,0,334081.4419,5014291.5,45.2679715492552,-76.1268481958561,54
CARROLL SIDE RD @ PETER ROBINSON RD (0002457),2457,1,0,0,334193.454,5016171.511,45.2848843365404,-76.1253094665532,55
THOMAS A. DOLAN PKWY btwn DONALD B. MUNRO DR & JOHN SHAW RD (__3ZACEM),__3ZACEM,1,0,0,334357.9961,5024111.548,45.3563260482466,-76.1227381512995,56
GOLDEN LINE RD btwn Continuation of GOLDEN LINE RD & OLD ALMONTE RD (__3ZAC0L),__3ZAC0L,1,0,0,334512.8627,5009993.085,45.2292735824655,-76.1216073584336,57
MARCH RD btwn UPPER DWYER HILL RD & PETER ROBINSON RD (__3ZA2RI),__3ZA2RI,3,0,0,334540.8523,5014775.258,45.2723054174864,-76.1209647949485,58
MARCH RD @ PETER ROBINSON RD (0010809),10809,1,0,0,335000.4531,5015261.493,45.2766612576983,-76.1150779208566,59
HIGHWAY 417 btwn HWY417 IC163 RAMP15 & HWY417 IC155 RAMP51 (__3ZAZNS),__3ZAZNS,11,0,0,335079.1501,5020464.762,45.3234797324746,-76.1137571317604,60
CARP RD btwn BAIRD SIDE RD & THOMAS A. DOLAN PKWY (__3ZBOB2),__3ZBOB2,2,0,0,335307.5376,5027134.471,45.3834869451811,-76.1104323173109,61
BAYVIEW DR btwn RITCHIE AVE & DORIS CURRIE RD (__3ZACC9),__3ZACC9,2,0,0,335339.353,5040901.947,45.5073696059272,-76.1091715321489,62
KINBURN SIDE RD btwn STONECREST RD & TORBOLTON RIDGE RD (__3ZA4Q7),__3ZA4Q7,1,0,0,335385.7721,5033426.963,45.440105673434,-76.1090428527684,63
DUNROBIN RD btwn BUCKHAMS BAY RD & KILMAURS SIDE RD (__3ZA4EB),__3ZA4EB,1,0,0,335433.0745,5038595.761,45.4866139064517,-76.1081161259848,64
MARCH RD btwn PETER ROBINSON RD & CORKERY RD (__3ZA2RJ),__3ZA2RJ,6,0,0,335478.5879,5015710.923,45.2806847870925,-76.1089561818547,65
UPPER DWYER HILL RD btwn MARCH RD & OLD ALMONTE RD (__3ZA4QB),__3ZA4QB,5,0,0,335519.6976,5012705.42,45.2536376932995,-76.1086180917792,66
HIGHWAY 417 btwn HWY417 IC163 RAMP61 & HWY417 IC155 RAMP36 (__3ZA2QB),__3ZA2QB,5,0,0,335547.9237,5020389.042,45.322777988313,-76.1077822656501,67
DIAMONDVIEW RD @ THOMAS A. DOLAN PKWY (0002448),2448,1,0,0,335556.5135,5025182.551,45.3659118584281,-76.1073746423004,68
WOODKILTON RD btwn KILMAURS SIDE RD & KINBURN SIDE RD (__3ZACCE),__3ZACCE,1,0,0,335907.1589,5036137.951,45.4644769343066,-76.1022070229488,69
STONECREST RD btwn KINBURN SIDE RD & NEEDHAMS SIDE RD (__3ZACDU),__3ZACDU,1,0,0,336021.4315,5031953.737,45.426821013271,-76.1010112709121,70
DIAMONDVIEW RD btwn THOMAS A. DOLAN PKWY & OLD COACH RD (__3ZACEL),__3ZACEL,1,0,0,336104.3034,5024613.722,45.3607690380098,-76.1004179798621,71
DUNROBIN RD btwn KILMAURS SIDE RD & CONSTANCE BAY RD (__3ZA4EA),__3ZA4EA,1,0,0,336297.9746,5037699.577,45.4785113336796,-76.0971093558504,72
MARCH RD btwn GREY FOX DR & HOWIE RD (__3ZA2QF),__3ZA2QF,1,0,0,336702.3852,5016785.786,45.2903025210911,-76.0932883585643,73
CONSTANCE BAY RD @ DUNROBIN RD (0002322),2322,3,0,0,336736.6951,5037257.145,45.4745102926723,-76.091526588215,74
TORBOLTON RIDGE RD btwn KINBURN SIDE RD & VANCES SIDE RD (__3ZA1E5),__3ZA1E5,1,0,0,336853.3862,5032723.184,45.4337071083769,-76.0903296376522,75
WOODKILTON RD @ KINBURN SIDE RD (0005761),5761,1,0,0,336951.5847,5034990.628,45.4541057232966,-76.088926452956,76
MARCH RD @ HOWIE RD (0010823),10823,1,0,0,337042.4812,5017115.492,45.2932538699854,-76.0889312806144,77
DONALD B. MUNRO DR btwn WILLIAM HODGINS LANE & VAUGHAN SIDE RD (__3ZACD7),__3ZACD7,1,0,0,337107.2347,5021313.813,45.3310294841954,-76.0878319950273,78
CONSTANCE BAY RD btwn TO BE DETERMINED & WILLAND LANE (__3ZA4GW),__3ZA4GW,1,0,0,337122.015,5037610.312,45.477670444186,-76.086575200466,79
LEN PURCELL DR btwn FIRESIDE DR & BALDWIN ST (__3ZAC7T),__3ZAC7T,1,0,0,337143.8755,5040405.633,45.5028223324647,-76.0861114084578,80
CORKERY RD btwn MARCH RD & MANION RD (__3ZACCH),__3ZACCH,3,0,0,337340.1174,5014773.616,45.2721666788309,-76.0852902924544,81
MARCH RD btwn HOWIE RD & JACOB'S GT (__3ZA2Q9),__3ZA2Q9,2,0,0,337349.3636,5017352.55,45.295372893918,-76.0850032923922,82
DUNROBIN RD btwn CONSTANCE BAY RD & KINBURN SIDE RD (__3ZA3FF),__3ZA3FF,3,0,0,337425.0672,5036577.193,45.4683600978208,-76.0827676225548,83
KINBURN SIDE RD btwn WOODKILTON RD & DUNROBIN RD (__3ZA3GH),__3ZA3GH,2,0,0,337490.572,5035460.173,45.4583058061149,-76.0820042084691,84
UPPER DWYER HILL RD btwn OLD ALMONTE RD & HAMILTON SIDE RD (__3ZBOB3),__3ZBOB3,3,0,0,337504.2832,5010452.889,45.2332786208213,-76.0834824284857,85
CONSTANCE BAY RD btwn WILLAND LANE & MONTY DR (__3ZA4CR),__3ZA4CR,1,0,0,337573.6036,5038024.154,45.4813732367473,-76.0807715553198,86
STONECREST RD btwn NEEDHAMS SIDE RD & KILKENNY DR (__3ZBNA1),__3ZBNA1,1,0,0,337692.9659,5030148.758,45.4105026213114,-76.0797712543687,87
DONALD B. MUNRO DR btwn VAUGHAN SIDE RD & DIAMONDVIEW RD (__3ZAC9H),__3ZAC9H,1,0,0,337699.5093,5021773.768,45.3351408531441,-76.0802455245863,88
JACOB'S GT btwn MARCH RD & DELANEY DR (__3ZACBV),__3ZACBV,1,0,0,337730.7396,5017491.834,45.2966084725546,-76.0801317194888,89
RESTHAVEN AVE btwn ALLBIRCH RD & ACORN CRES (__3ZA1EP),__3ZA1EP,1,0,0,337826.1088,5038418.226,45.4849072823172,-76.0775151819131,90
ALLBIRCH RD @ CONSTANCE BAY RD (0006015),6015,1,0,0,337866.0759,5038297.027,45.4838148156392,-76.077012080517,91
THOMAS A. DOLAN PKWY btwn CARP RD & STONECREST RD (__3ZA1XZ),__3ZA1XZ,2,0,0,337881.1301,5027234.068,45.3842663445012,-76.0775628745801,92
OLD ALMONTE RD btwn UPPER DWYER HILL RD & CORKERY RD (__3ZBNAS),__3ZBNAS,1,0,0,337916.1541,5012082.21,45.2479209809848,-76.0781285450916,93
DUNROBIN RD @ KINBURN SIDE RD (0001688),1688,1,0,0,338029.5988,5035929.629,45.4625046598972,-76.0750804378001,94
CARP RD btwn THOMAS A. DOLAN PKWY & NORMA LANE (__3ZAZ54),__3ZAZ54,2,0,0,338041.1584,5024890.636,45.3631716590816,-76.0756771384806,95
HAMILTON SIDE RD @ UPPER DWYER HILL RD (0005794),5794,1,0,0,338085.4646,5009814.467,45.2275064741516,-76.0761234825087,96
DIAMONDVIEW RD @ DONALD B. MUNRO DR (0011597),11597,1,0,0,338123.5141,5022171.51,45.3386999039251,-76.0748091448508,97
BEARHILL RD @ MARCH RD (0005738),5738,1,0,0,338158.4952,5017980.486,45.3009854311482,-76.0746450924118,98
DONALD B. MUNRO DR btwn DIAMONDVIEW RD & OLD COACH RD (__3ZAC9L),__3ZAC9L,1,0,0,338442.8877,5022469.074,45.3413622720603,-76.0707139828709,99
ROCKY CREEK WAY btwn DELANEY DR & BEARHILL RD (__3ZA57A),__3ZA57A,1,0,0,338567.3296,5016857.459,45.2908603360367,-76.0695086526085,100
MANCHESTER ST btwn DORATY LANE & STITTSVILLE MAIN ST (__3ZACOX),__3ZACOX,1,0,0,350150.0845,5013350.422,45.2586508445009,-75.9221699101767,101
LEVECHE WAY @ MAPLE GROVE RD (0014005),14005,1,0,0,350151.08,5016607.13,45.2879557303715,-75.9218597513881,102
WEST RIDGE DR btwn BLACK BEAR WAY & COYOTE CRES (__5QCYUO),__5QCYUO,2,0,0,350171.8811,5012093.429,45.2473385545882,-75.9220069491348,103
LEGGET DR @ TERRY FOX DR (0011817),11817,2,0,0,350176.6178,5023444.493,45.3494784659373,-75.920907827554,104
MARCH RD btwn TERRY FOX DR & SOLANDT RD (__3ZA3CE),__3ZA3CE,6,0,0,350177.4737,5023051.647,45.3459434975241,-75.9209329498948,105
BYRD CRES btwn CHIMO DR & CHIMO DR (__3ZACW9),__3ZACW9,1,0,0,352326.9831,5019236.045,45.3114675865348,-75.8938706365385,106
HAZELDEAN RD @ JOHNWOODS ST/VICTOR ST (0004683),4683,3,0,0,350186.59,5015396.446,45.2770593164089,-75.9215178160649,107
HINES RD btwn INNOVATION DR & SOLANDT RD (__3ZA1CU),__3ZA1CU,1,0,0,350189.678,5022719.912,45.3429576831403,-75.9208076580197,108
STITTSVILLE MAIN ST @ MANCHESTER ST (0000051),51,1,0,0,350208.5882,5013401.414,45.2591059151247,-75.9214198607479,109
MAPLE GROVE RD btwn LEVECHE WAY & HUNTMAR DR (__3ZACVG),__3ZACVG,1,0,0,350209.3664,5016660.317,45.2884305600166,-75.9211118801496,110
PINE NEEDLES CRT btwn OLD ORCHARD CRES & END (__3ZA5H3),__3ZA5H3,1,0,0,350226.6856,5015122.485,45.2745915355888,-75.9210318665077,111
DWYER HILL RD @ PURDY RD (0005198),5198,1,0,0,350230.5288,4996574.319,45.1076862672603,-75.9226728042273,112
STITTSVILLE MAIN ST btwn MANCHESTER ST & ABBOTT ST W (__3ZA3DD),__3ZA3DD,1,0,0,350234.5159,5013369.561,45.2588176165115,-75.921092428799,113
HAZELDEAN RD btwn JOHNWOODS ST & SAVAGE DR (__3ZA3D1),__3ZA3D1,2,1,1,350238.0916,5015442.439,45.2774698499766,-75.9208572176426,114
ABBOTT ST @ STITTSVILLE MAIN ST (0000082),82,6,1,1,350248.5843,5013331.417,45.25847347451,-75.9209166733005,115
TERRY FOX DR btwn 329 N OF CAMPEAU DR/SIGNATURE CENTRE & CAMPEAU DR (__49GU9G),__49GU9G,5,0,0,350258.9451,5019037.591,45.309818759795,-75.9202619160133,116
BLACKDOME CRES btwn KALBROOK ST & KALBROOK ST (__3ZA2I2),__3ZA2I2,1,0,0,350263.725,5020232.577,45.3205712521498,-75.9200912966133,117
ROSEHILL AVE btwn BURNABY DR & END (__6O5EKF),__6O5EKF,1,0,0,350266.6678,5016245.549,45.2846946436568,-75.9204194362379,118
HUNTMAR DR @ MAPLE GROVE RD (0003119),3119,3,0,0,350267.605,5016713.453,45.2889049288414,-75.9203646104527,119
HEMLO CRES btwn GOLDRIDGE DR & GRENGOLD WAY (1) (__3ZAZZX),__3ZAZZX,1,0,0,350276.39,5019410.584,45.3131739226758,-75.9200052199465,120
MUNSTER RD btwn COPELAND RD & FRANKTOWN RD (__3ZA3EV),__3ZA3EV,2,0,0,350278.0669,5001312.593,45.1503208700859,-75.9216379755037,121
BLACKDOME CRES btwn GOLDRIDGE DR & KALBROOK ST (__3ZA473),__3ZA473,1,0,0,350278.6041,5020040.476,45.3188417139769,-75.9199191564279,122
KLONDIKE RD @ MARCH VALLEY RD (0012141),12141,1,0,0,350278.6165,5024992.523,45.3634013420939,-75.9194637789447,123
KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL (0011838),11838,1,0,0,350286.5926,5019728.825,45.3160368791494,-75.919845886258,124
TERRY FOX DR btwn KANATA AVE & Continuation of TERRY FOX DR (__4V3NPM),__4V3NPM,1,0,0,350289.5023,5019037.554,45.3098164482336,-75.9198722433952,125
HAZELDEAN RD @ SAVAGE DR (0005270),5270,1,1,0,350289.595,5015488.445,45.2778804965081,-75.9201965855689,126
CAMPEAU DR @ DIDSBURY RD (0011857),11857,1,0,0,350289.6032,5018754.461,45.3072690927486,-75.9198969419891,127
STITTSVILLE MAIN ST @ ORVILLE ST (0000085),85,1,1,0,350312.5913,5013247.429,45.2577135828133,-75.9201088625983,128
CASTLEFRANK RD @ GOLDRIDGE DR N/SHERRING CRES  (0002716),2716,1,0,0,350324.6008,5019992.48,45.3184068524472,-75.9193369088226,129
WEST RIDGE DR btwn LANDSWOOD WAY & FERNBANK RD (__5QCYVK),__5QCYVK,1,0,0,350328.8407,5011762.465,45.2443502802034,-75.920037847048,130
VICTOR ST btwn DENHAM WAY & GREER ST (__3ZAZCS),__3ZAZCS,1,0,0,350353.327,5015161.314,45.2749327386396,-75.9194143281415,131
DENHAM WAY btwn VICTOR ST & IVA ST (__3ZACRW),__3ZACRW,1,0,0,350359.2509,5015299.914,45.276179522997,-75.9193261111673,132
SONESTA CIRC btwn MISTRAL WAY & HUNTMAR DR (__67PTPF),__67PTPF,1,0,0,350359.7646,5016513.786,45.2871022954717,-75.9192081274194,133
TERRY FOX DR btwn LEGGET DR & HELMSDALE DR (__3ZAZO8),__3ZAZO8,4,1,0,350392.6647,5023597.446,45.3508407569298,-75.9181366974799,134
ELM CRES btwn MCCUAIG DR & GOULBOURN ST (__3ZA5HC),__3ZA5HC,1,0,0,350402.2923,5012305.127,45.2492286001349,-75.9190524700018,135
CAMPEAU DR @ TERRY FOX DR (0008211),8211,10,0,0,350455.6007,5019010.455,45.3095618257164,-75.9177565963625,136
KOHILO CRES btwn HUNTMAR DR & HUNTMAR DR (__6O5XS6),__6O5XS6,1,0,0,350473.8743,5016663.684,45.2884437173553,-75.9177397424083,137
HAZELDEAN RD @ SWEETNAM DR (0005271),5271,1,0,0,350475.5863,5015656.441,45.2793801197279,-75.9178106323358,138
CAMPEAU DR btwn TERRY FOX DR & HERLIHEY WAY (__5ZYNI8),__5ZYNI8,2,0,0,350478.9807,5019096.086,45.3103308362627,-75.9174505545363,139
MARCH RD @ SOLANDT RD (0003172),3172,9,0,0,350489.6085,5022710.502,45.3428535386681,-75.916981479955,140
ROSEHILL AVE @ HUNTMAR DR (0010609),10609,1,0,0,350500.3529,5016458.471,45.2865954268448,-75.9174211081748,141
GOULBOURN ST btwn CORDUKES ST & ELM CRES (__3ZACNM),__3ZACNM,1,0,0,350504.9697,5012464.538,45.2506563778081,-75.9177298288381,142
CAMPEAU DR @ HERLIHEY WAY (0012766),12766,1,0,0,350508.5849,5019177.484,45.3110613510838,-75.9170655199034,143
FLEWELLYN RD btwn CONLEY RD & NO NAME (__5RG4JY),__5RG4JY,1,0,0,350559.8367,5010002.283,45.2284965042281,-75.9172574073166,144
STITTSVILLE MAIN ST btwn DAPHNE CRES & CARLETON CATHCART ST (__3ZA3DC),__3ZA3DC,1,0,0,350565.8808,5012964.004,45.2551467937389,-75.9169078861481,145
ROSEHILL AVE btwn HUNTMAR DR & TRAMONTANA PL (__6O5XZ8),__6O5XZ8,2,0,0,350570.245,5016521.6,45.287158932899,-75.9165243603482,146
MARCH VALLEY RD btwn KLONDIKE RD & Continuation of MARCH VALLEY RD (__5RG65T),__5RG65T,1,0,0,350574.155,5024668.835,45.360469501331,-75.9157213968753,147
HELMSDALE DR @ TERRY FOX DR (0009117),9117,3,0,0,350581.8494,5023785.786,45.3525231532241,-75.9157049696238,148
CAMPEAU DR @ KANATA AVE (0012003),12003,7,0,0,350594.8671,5019401.944,45.3130754802174,-75.9159444506147,149
STATION RD btwn MARCH RD & END (__3ZA2UD),__3ZA2UD,1,0,0,350602.8792,5022067.455,45.3370598738962,-75.9155957041226,150
TERRY FOX DR S @ DIDSBURY RD/CENTRUM KANATA SC (0011820),11820,8,0,0,350623.4789,5018915.729,45.3086985220661,-75.9156245254942,151
PALLADIUM DR btwn CYCLONE TAYLOR BLVD & SILVER SEVEN RD (__3ZA561),__3ZA561,1,0,0,350627.3764,5017674.662,45.2975308021262,-75.9156895558436,152
FRANK NIGHBOR PL btwn SILVER SEVEN RD & END (__3ZAZH1),__3ZAZH1,1,0,0,350628.0765,5018119.882,45.3015369722442,-75.9156394781781,153
HIGHWAY 417 btwn HWY417 IC140 RAMP51 & HWY417 IC140 RAMP35 (__3ZAZEY),__3ZAZEY,1,0,0,350634.9369,5018364.687,45.3037393482062,-75.9155293703882,154
CARLETON CATHCART ST @ STITTSVILLE MAIN ST (0000081),81,1,0,0,350635.5872,5012886.424,45.2544441639743,-75.9160269749981,155
HIGHWAY 417 btwn HWY417 IC140 RAMP36 & HWY417 IC140 RAMP16 (__3ZA20N),__3ZA20N,1,0,0,350656.3969,5018424.136,45.3042728860807,-75.9152502349451,156
TERRY FOX DR btwn DIDSBURY RD & HWY417 IC140 RAMP36 (__3ZA3DS),__3ZA3DS,2,1,0,350658.8303,5018884.064,45.3084112844582,-75.9151766515788,157
ABBOTT ST @ CARBERY DR (0000324),324,1,0,0,350673.5872,5013712.414,45.2618742336594,-75.9154666008509,158
HAZELDEAN RD btwn CEDAROW CRT & FRINGEWOOD DR (__3ZA3D6),__3ZA3D6,2,0,0,350674.5053,5015837.04,45.2809922543156,-75.9152586140094,159
MAPLE GROVE RD btwn ROSEHILL AVE & Continuation of MAPLE GROVE RD (__3ZACWH),__3ZACWH,1,0,0,350677.4981,5017075.717,45.2921380502607,-75.9151059316702,160
HWY417 IC140 RAMP51 btwn HIGHWAY 417 & HWY417 IC140 RAMP53 (__3ZAYB3),__3ZAYB3,1,0,0,350681.0887,5018369.676,45.3037812276191,-75.9149404282736,161
MARCH RD btwn SOLANDT RD & STATION RD (__3ZA3CD),__3ZA3CD,6,0,0,350697.495,5022477.508,45.3407434376497,-75.9143505163198,162
CORIOLIS CRT/GALLANTRY WAY @ HUNTMAR DR (0010610),10610,1,0,0,350708.0471,5016331.504,45.2854394040522,-75.9147853504724,163
MEADOWLAND DR btwn ELM CRES & PORTER ST (__3ZABCQ),__3ZABCQ,1,0,0,350711.0138,5012320.345,45.2493454650928,-75.9151183315064,164
WESLOCK WAY btwn WALDEN DR & ZOKOL CRES (__3ZA47N),__3ZA47N,1,0,0,350712.113,5021153.768,45.3288311702002,-75.9142868057019,165
DWYER HILL RD btwn PURDY RD & DWYER HILL RD (__3ZA3E3),__3ZA3E3,4,0,0,350717.8221,4995993.574,45.1024289092303,-75.9165338820554,166
